account_id,summoner_name,tier,match_id,team,position,playtime,spell1,spell2,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio,xcor_0,ycor_0,xcor_1,ycor_1,xcor_2,ycor_2,xcor_3,ycor_3,xcor_4,ycor_4,xcor_5,ycor_5,xcor_6,ycor_6,xcor_7,ycor_7,xcor_8,ycor_8,xcor_9,ycor_9,xcor_10,ycor_10,xcor_11,ycor_11,xcor_12,ycor_12,xcor_13,ycor_13,xcor_14,ycor_14,xcor_15,ycor_15
KLSh3gFYnTpPD-CNA4f2BlnMQDw5GCh79JG23oCYRX-XFs8,정글 못하는 형,SILVER,4511519914,100,JUNGLE,1797,11,4,5,2,11,13667,0,1,16792,16230,747,25,10,28871,10668,16,135,0,458,6,6,4,0.5925925925925926,0.125,560,361,7381,3447,6586,4795,2381,11687,7118,6220,8673,4112,2789,3050,4713,5908,7949,2285,3339,6743,8373,4893,2360,12149,11236,3254,9309,5742,8851,4169,8681,6593
ynSBX1DEMBPaGg9WVrqFb4yGVV8yeBmQ9qzcJn6FDsQf,아이스홍초,SILVER,4511519914,200,TOP,1797,12,4,1,3,6,25179,8636,4,11169,3834,3078,17,25,20522,9833,190,4,0,75,1,9,1,0.4666666666666667,0.1111111111111111,14486,14511,6232,10226,1563,12324,1726,11611,1719,11215,1317,11103,1950,11467,1740,11098,1815,11547,1130,12156,1627,11032,2152,11706,2995,12710,2905,12595,4168,11746,2172,12711
Zxz01k-Imu-PWiVc1F7Acp3tXdgqRyBxpnPG3t9u9c4o,전투모험가,SILVER,4511519914,200,JUNGLE,1797,11,4,5,6,4,10236,0,1,14763,13561,0,30,8,24599,10975,50,122,4,124,4,5,4,0.6,0.2222222222222222,14486,14291,9734,6327,11952,6854,7028,11089,10096,5322,11330,7049,10081,4605,14340,14391,12422,6451,8297,7677,1312,11216,2870,12754,9795,6433,11317,12057,11441,7034,2230,12388
ELD6meZhNHaVp4H3kScYvQnmWvJLV924w5pdSRQnwUVyMveWYvhFDEPZ,ALTA60,SILVER,4511519914,200,SUPPORT,1797,4,3,2,6,3,6083,0,1,12378,1194,0,28,35,17185,6655,42,0,0,112,0,17,3,0.3333333333333333,0.2222222222222222,14237,14579,11179,5590,13190,3213,12846,2010,14086,13533,9890,6545,10779,4467,12421,1851,10330,2976,13374,5768,12716,2825,11625,1623,11967,1845,13141,4327,12412,2295,12781,2559
OjaaKfImscqAjmw-fVxXkIuiIIvVYDQv94MLVtBb47ycPfs,전략적 팀운,SILVER,4511519914,200,MID,1797,4,14,5,9,3,15528,0,1,23177,1460,228,16,15,28061,9509,129,16,0,209,0,5,4,0.5333333333333333,0.3333333333333333,14277,14223,9001,9199,8582,7943,8001,8091,8106,8530,7467,8010,8457,8274,8853,6274,4695,9870,11931,12011,8583,8121,12085,11191,9331,7448,3118,10839,8969,9359,8103,7077
g1QUd5J4n9r3xMSYEUSCVm7WJJPmEbRhSedQR-5jaR8C,i4444pppp,SILVER,4511519914,200,BOTTOM,1797,7,4,2,3,5,13284,2333,3,6249,3088,2876,21,40,13957,10816,228,4,0,859,3,10,1,0.4666666666666667,0.1111111111111111,14147,14401,11059,5365,13295,2611,12153,2491,13379,6289,10585,5025,12467,1832,12017,2127,11254,1754,13631,8196,12647,2934,11409,1178,11644,1513,13245,5143,12089,1764,13014,3001
ID1GVwhmYLPQyllH9asUke3Yqsj--XbecSyeJZEzPJC9-L3OXRRk53LW,롤lol처음,SILVER,4571091984,100,BOTTOM,1807,4,7,4,4,6,11827,2861,2,5902,14540,4885,33,26,14006,12064,192,18,8,114,2,10,3,0.3225806451612903,0.15384615384615385,221,471,130,401,12162,2396,13032,2738,11980,2124,12124,2093,11617,1439,12893,2428,12750,2789,10957,1360,10048,978,12737,3015,12389,2099,13189,3636,8951,1704,10737,4682
L9a-TOsdtHaxqrb23Ixq-c1Ebc__vpW2PzdMG31UVEaGyriGxaKyG1yX,찬호랑이왕,SILVER,4571091984,100,TOP,1807,12,4,12,4,4,26952,0,1,30342,15878,5748,21,9,31621,16152,235,28,3,67,2,3,4,0.5161290322580645,0.15384615384615385,560,581,11489,6907,2719,12958,3005,13359,4299,10036,993,11911,4143,13629,1365,11374,2102,12578,4061,12930,2399,12796,2636,12721,1276,10882,3577,13316,491,1006,3786,13327
_84u109MOHRiGsYhqNu7YzcoNos5nkhMgP8o0yPzx1g8iT0,해운대609,SILVER,4571091984,100,SUPPORT,1807,3,4,2,7,3,14214,0,1,4948,3595,766,22,18,12552,7754,39,0,0,115,1,12,2,0.16129032258064516,0.2692307692307692,311,649,11259,5672,12181,2044,12851,2710,13525,2257,6632,1132,11344,1575,12630,3134,13052,2912,10741,1680,357,545,13113,3446,12815,1803,4036,927,10300,4934,4838,977
STpQcBi7LchvS6NX-uxqp7wu4MneCwVj5V6kyapOK9w368wvuQLeEf5Y,롯데월드경비원,SILVER,4571091984,100,JUNGLE,1807,4,11,2,4,7,5749,0,1,20665,42342,386,5,20,35948,10121,9,142,18,354,1,1,2,0.2903225806451613,0.15384615384615385,560,361,11428,7212,8296,2736,7190,4998,2596,5155,3541,6394,4301,13520,8300,2494,11271,8386,1406,852,394,461,6125,4957,3772,11056,8813,6138,10105,4540,1191,1000
