account_id,summoner_name,tier,match_id,queue,team,position,playtime,spell1,spell2,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio,xcor_0,ycor_0,xcor_1,ycor_1,xcor_2,ycor_2,xcor_3,ycor_3,xcor_4,ycor_4,xcor_5,ycor_5,xcor_6,ycor_6,xcor_7,ycor_7,xcor_8,ycor_8,xcor_9,ycor_9,xcor_10,ycor_10,xcor_11,ycor_11,xcor_12,ycor_12,xcor_13,ycor_13,xcor_14,ycor_14,xcor_15,ycor_15
cYX-ohcafUoMukWvkoEfqq7ZfpyddtXxMKxJSB4_rMAVYYo,아재쓰,GOLD,4545911523,420,100,TOP,2313,4,12,3,10,14,19405,0,1,12524,5787,5389,16,35,31474,15156,224,12,4,136,0,10,1,0.3469387755102041,0.2222222222222222,560,581,7732,4829,1789,12322,1658,11785,1589,11263,394,461,2258,13179,1233,12304,3711,13260,1762,11211,2460,12523,1388,10841,3499,13212,6670,7847,4062,12520,1314,11325
pZcMyxdjuOcOT7gNl09yWojw_2l5aB8oxNrg94YdfJSxDLAW1bWQVdM-,정글병자기도메타,GOLD,4545911523,420,100,JUNGLE,2313,4,11,16,9,17,27754,0,1,53235,31552,1393,32,42,58614,18192,66,121,1,374,7,8,6,0.673469387755102,0.2,560,361,7792,5806,3370,8121,4299,9953,5148,9062,9031,5740,10778,2122,4917,6005,3659,6543,6839,7317,4540,9221,12908,2285,12200,3427,10675,1851,9663,2461,9700,4199
52r4xhqb-OYoDKCqGanWeShgRTOgEexUUYAESMfARdoIAj4,정복자 피오라,GOLD,4545911523,420,100,SUPPORT,2313,14,4,6,10,22,14920,0,1,47646,0,0,52,42,33253,11694,45,0,0,160,5,26,4,0.5714285714285714,0.2222222222222222,311,649,8673,4564,13463,2747,13576,3173,12527,2758,12039,2321,1679,644,12993,2759,1102,536,11833,1914,10936,1312,12318,2705,11856,1188,12156,2216,11389,1813,11913,3832
BaKs-Pu5i8vWx1Co-gzMl9TrmFBKg8ysbPtL_ijIB-f7,파워욱이,GOLD,4545911523,420,100,BOTTOM,2313,4,1,18,7,15,42493,0,1,14880,10515,9248,15,16,32172,20302,231,12,0,153,2,4,4,0.673469387755102,0.15555555555555556,221,471,8637,4453,12928,2247,12732,2893,12648,2613,12094,2399,12126,2137,13209,2232,10783,1451,4932,766,10696,1663,12134,2322,11103,1205,12421,2316,12562,2042,11619,3614
N-8x15U7qrsew0c4uc9c6F1GMzkxomS2ujAmNrVypozp,방콕 제갈량,GOLD,4545911523,420,200,BOTTOM,2313,7,4,7,6,15,35019,3307,3,6623,33113,18051,24,21,16816,15617,244,16,0,305,3,13,0,0.4888888888888889,0.12244897959183673,14147,14401,8337,5702,12317,3312,13342,4178,13430,3540,13090,3210,12842,2893,13287,3928,12221,1895,13667,8692,11788,1954,13597,4548,11853,1259,13586,4671,12825,2756,14328,14191
QjjAqJJVybawtMxw4TX-Whr8AkxDK5XtBSUT0UzWg3SevOE,암페시아,GOLD,4545911523,420,200,SUPPORT,2313,4,14,7,13,17,28825,0,1,16650,10578,1478,45,53,39003,12226,48,8,4,195,1,20,3,0.5333333333333333,0.2653061224489796,14237,14579,7938,5674,12024,3619,13195,3897,13563,3385,13201,2582,12409,1330,13467,3474,12823,2427,12903,2413,11875,1932,12237,2833,11844,1338,11698,2286,12748,2723,11203,1898
90P_Ia_f5z3IKcPMSDfc-Qv_sFzFrxzRxdXgyD_WI8YBc8oSGON9iyXd,쌍버프배달충,GOLD,4545911523,420,200,MID,2313,4,14,16,11,4,40082,0,1,21017,7034,7034,25,11,35514,18755,224,25,0,185,2,8,8,0.4444444444444444,0.22448979591836735,14277,14223,8331,5311,7412,7712,7582,7205,8014,8142,8849,8190,7791,7234,4072,11493,7494,7245,8917,8986,7613,7388,7274,7408,7657,7391,8405,5638,8082,6737,7272,7934
llWCiY6FUTQlAcqnRXkrZQ3Cc0K4I1FyiahQ1PoZcT3x2Omkv1SxesaK,똥9녕,GOLD,4545911523,420,200,TOP,2313,4,6,13,10,3,21920,0,1,39354,18726,5153,27,28,40998,14328,160,16,5,153,0,11,5,0.35555555555555557,0.20408163265306123,14486,14511,8267,5287,2580,12253,13861,14280,1674,11906,14340,14391,14340,14391,14340,14391,4472,13638,1592,11429,2936,12707,14013,14209,4352,13672,1247,10566,5448,12518,1039,10846
oDqukdXpbUc4L-RujX-5kSLr6QWazcm_yDs8Rxx6RjprHtk,조두관,GOLD,4545911523,420,200,JUNGLE,2313,11,4,2,9,25,19677,9952,5,58309,9836,569,39,56,41809,11943,29,100,4,766,7,12,9,0.6,0.1836734693877551,14486,14291,8532,5235,11648,7069,7080,11120,13018,12242,9576,5869,9988,3147,7939,9556,7022,10102,7242,10893,2850,11941,9222,7431,11508,1119,14340,14391,12062,3007,3781,6650
uij_g6tJmH6A-46RSm4b62dydfVMZgZsPZyFhfG7CKGh,다메가미,GOLD,4552048501,420,100,TOP,1660,4,14,4,2,4,7106,0,1,14022,14423,2106,9,17,12759,8697,109,0,0,45,0,5,1,0.34782608695652173,0.15384615384615385,560,581,1201,10410,1851,12645,1388,11248,1599,11468,1007,6169,1353,10828,1818,12460,1188,11034,1850,12238,1026,10835,1263,10994,1292,10687,1084,10893,824,10856,1087,10563
